keys,en,es
Game Title,Game Title,Título del juego
Start,Start,Iniciar
Options,Options,Opciones
Exit,Exit,Salir
PAUSED,PAUSED,PAUSA
Resume,Resume,Reanudar
Main Menu,Main Menu,Menú principal
Exit to Desktop,Exit to Desktop,Salir al escritorio
Apply,Apply,Aplicar
Close | x,Close | x,Cerrar | x
Graphics,Graphics,Gráficos
Audio,Audio,Audio
Gameplay,Gameplay,Jugabilidad
Controls,Controls,Controles
Accessibility,Accessibility,Accesibilidad
Screen Mode,Screen Mode,Modo de pantalla
Resolution,Resolution,Resolución
VSync,VSync,VSync
Brightness,Brightness,Brillo
Field of view,Field of view,Campo de visión
Master,Master,Maestro
Music,Music,Música
Effects,Effects,Efectos
Subtitles,Subtitles,Subtítulos
Difficulty,Difficulty,Dificultad
Sensitivity,Sensitivity,Sensibilidad
Camera Invert X,Camera Invert X,Invertir cámara X
Camera Invert Y,Camera Invert Y,Invertir cámara Y
Windowed,Windowed,Ventana
Fullscreen,Fullscreen,Pantalla completa
Borderless,Borderless,Sin bordes
Easy,Easy,Fácil
Normal,Normal,Normal
Hard,Hard,Difícil
Language,Language,Idioma
Inventory,Inventory,Inventario
Quick Equip,Quick Equip,Equipo rápido
Sort by Type,Sort by Type,Ordenar por tipo
Not enough space,Not enough space,No hay espacio suficiente
